Self reported ethnicity	Batch 1	Batch 2	Total
 Asian or Asian British	2	16	18
 Black or Black British	3	8	11
 Mixed	2	13	15
African	337	905	1242
Any other Asian background	202	558	760
Any other Black background	10	37	47
Any other mixed background	119	332	451
Any other white background	1708	4869	6577
Bangladeshi	17	72	89
British	43375	132661	176036
Caribbean	660	1271	1931
Chinese	173	470	643
Do not know	14	61	75
Indian	709	1913	2622
Irish	1500	3913	5413
Other ethnic group	505	1424	1929
Pakistani	139	637	776
Prefer not to answer	177	542	719
Unknown	16	210	226
White	38	187	225
White and Asian	106	264	370
White and Black African	48	126	174
White and Black Caribbean	96	198	294
Total	49956	150687	200643
