UKBB centre	Batch 1	Batch 2	Total
Barts	65	4238	4303
Birmingham	9558	5249	14807
Bristol	110	14890	15000
Bury	1765	8990	10755
Cardiff	99	6258	6357
Croydon	7005	6825	13830
Edinburgh	59	5682	5741
Glasgow	94	6017	6111
Hounslow	5471	7786	13257
Leeds	2110	14151	16261
Liverpool	4899	9050	13949
Manchester	1823	4049	5872
Middlesborough	103	7009	7112
Newcastle	153	12219	12372
Nottingham	1609	10726	12335
Oxford	49	5087	5136
Reading	67	9896	9963
Sheffield	13901	5280	19181
Stockport (pilot)	75	0	75
Stoke	840	6340	7180
Swansea	16	760	776
Unknown	8	3	11
Wrexham	77	182	259
Total	49956	150687	200643
