UKBB centre	Batch 1	Batch 2	Total
Barts	45	3079	3124
Birmingham	7805	4131	11936
Bristol	93	13892	13985
Bury	1544	8250	9794
Cardiff	80	5812	5892
Croydon	5248	5068	10316
Edinburgh	53	5353	5406
Glasgow	85	5665	5750
Hounslow	3948	5764	9712
Leeds	1841	13026	14867
Liverpool	4246	8430	12676
Manchester	1534	3442	4976
Middlesborough	90	6660	6750
Newcastle	131	11565	11696
Nottingham	1407	9960	11367
Oxford	40	4655	4695
Reading	54	9011	9065
Sheffield	12239	4911	17150
Stockport (pilot)	64	0	64
Stoke	747	6011	6758
Swansea	11	709	720
Wrexham	66	170	236
Total	41371	135564	176935
